Report Year,Country,Region,Subregion,Assessment Area,Unit,Description,Actual,Year 0,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10
1991,US,ECAR,-,-,MW,Peak Hour Demand - Winter,67097,74981,76580,78019,79389,80672,81972,83289,84626,85957,87268,
1991,US,TRE,-,ERCOT,MW,Peak Hour Demand - Summer,42737,43264,44214,45226,46010,46817,47943,48783,49906,51089,52405,
1991,US,TRE,-,ERCOT,MW,Peak Hour Demand - Winter,35815,35718,36895,37862,38664,39722,40681,41715,42838,44079,45386,
1991,US,FRCC,-,FRCC,MW,Peak Hour Demand - Summer,27266,28652,29441,30123,30921,31876,32594,33343,34093,34751,35602,
1991,US,FRCC,-,FRCC,MW,Peak Hour Demand - Winter,30800,32138,33267,34364,35431,36468,37498,38520,39529,40535,41552,
1991,US,MAAC,-,-,MW,Peak Hour Demand - Summer,42613,43341,44040,44689,45329,45889,46588,47285,47966,48653,49321,
1991,US,MAAC,-,-,MW,Peak Hour Demand - Winter,36551,38481,39165,39932,40683,41493,42329,43125,43932,44725,45492,
1991,US,MAIN,-,-,MW,Peak Hour Demand - Summer,40740,41309,42053,42769,43460,44126,44830,45614,46408,47198,47962,
1991,US,MAIN,-,-,MW,Peak Hour Demand - Winter,32461,33668,34382,35035,35672,36330,36982,37720,38473,39191,39923,
1991,US,MRO,-,-,MW,Peak Hour Demand - Summer,24994,25329,25671,26012,26307,26619,27037,27472,27918,28373,28863,
1991,US,MRO,-,-,MW,Peak Hour Demand - Winter,21113,21479,21959,22319,22629,22979,23377,23760,24152,24565,25023,
1991,US,NPCC,-,-,MW,Peak Hour Demand - Summer,44116,46409,46372,46662,46904,47184,47644,48172,48717,49365,49965,
1991,US,NPCC,-,-,MW,Peak Hour Demand - Winter,40545,43240,43327,43726,44061,44430,44921,45342,46022,46666,47171,
1991,US,NPCC,New England,New England,MW,Peak Hour Demand - Summer,19131,19969,19732,19802,19824,19894,20154,20492,20847,21325,21775,
1991,US,NPCC,New England,New England,MW,Peak Hour Demand - Winter,18659,19500,19407,19496,19581,19670,19921,20122,20552,20956,21271,
1991,US,NPCC,New York,New York,MW,Peak Hour Demand - Summer,24985,26440,26640,26860,27080,27290,27490,27680,27870,28040,28190,
1991,US,NPCC,New York,New York,MW,Peak Hour Demand - Winter,21886,23740,23920,24230,24480,24760,25000,25220,25470,25710,25900,
1991,US,SERC,-,-,MW,Peak Hour Demand - Summer,94677,96130,98956,102227,104913,107704,110461,113243,115902,118528,120840,
1991,US,SERC,-,-,MW,Peak Hour Demand - Winter,86648,90478,92640,94907,97077,99321,101568,103785,106188,108414,110375,
1991,US,SERC,Central,-,MW,Peak Hour Demand - Summer,22595,22419,22922,23867,24667,25540,26246,27047,27855,28655,29457,
1991,US,SERC,Central,-,MW,Peak Hour Demand - Winter,20937,22910,23344,23801,24330,24692,25167,25645,26116,26589,27232,
1991,US,SERC,Southeastern,-,MW,Peak Hour Demand - Summer,30995,31156,32055,32920,33816,34644,35430,36225,37031,37798,38393,
1991,US,SERC,Southeastern,-,MW,Peak Hour Demand - Winter,24416,24971,25576,26161,26757,27404,28042,28693,29316,29814,30394,
1991,US,SERC,VACAR,-,MW,Peak Hour Demand - Summer,41087,42555,43979,45440,46430,47520,48785,49971,51016,52075,52990,
1991,US,SERC,VACAR,-,MW,Peak Hour Demand - Winter,41295,42597,43720,44945,45990,47225,48359,49447,50756,52011,52749,
1991,US,SPP,-,-,MW,Peak Hour Demand - Summer,52541,52169,53070,54330,55319,56328,57409,58541,59654,60815,61975,
1991,US,SPP,-,-,MW,Peak Hour Demand - Winter,38949,39567,40512,41497,42321,43217,44175,45159,46137,47107,48082,
1991,US,WECC,-,-,MW,Peak Hour Demand - Summer,97389,94710,96868,98422,100386,102186,103978,105716,107577,109464,111403,
1991,US,WECC,-,-,MW,Peak Hour Demand - Winter,94252,91295,93427,94834,96392,97994,99775,101277,103065,104843,106469,
1991,US,WECC,AZN,-,MW,Peak Hour Demand - Summer,12553,12960,13265,13210,13567,13862,14155,14452,14753,15071,15420,
1991,US,WECC,AZN,-,MW,Peak Hour Demand - Winter,9440,10075,10739,11043,11355,11605,11866,12130,12391,12673,12966,
1991,US,WECC,CNV,-,MW,Peak Hour Demand - Summer,49368,46438,47530,48452,49572,50622,51623,52510,53541,54563,55645,
1991,US,WECC,CNV,-,MW,Peak Hour Demand - Winter,37090,37270,38034,38445,39244,40015,40884,41522,42398,43227,43921,
1991,US,WECC,NWPP,-,MW,Peak Hour Demand - Summer,29306,28839,29378,29819,30127,30458,30793,31176,31511,31847,32226,
1991,US,WECC,NWPP,-,MW,Peak Hour Demand - Winter,40935,37313,37843,38379,38739,39157,39621,40051,40506,40982,41478,
1991,US,WECC,RMPA,-,MW,Peak Hour Demand - Summer,6427,6638,6885,7031,7182,7347,7499,7682,7854,8055,8214,
1991,US,WECC,RMPA,-,MW,Peak Hour Demand - Winter,6787,6660,6867,7016,7175,7344,7520,7681,7862,8040,8208,
1992,CA,MRO,-,-,MW,Peak Hour Demand - Summer,4976,4615,4807,4898,5000,5085,5150,5261,5378,5470,5564,
1992,CA,MRO,-,-,MW,Peak Hour Demand - Winter,5964,6155,6309,6451,6598,6697,6811,6904,7035,7145,7209,
1992,CA,NPCC,-,-,MW,Peak Hour Demand - Summer,42108,40386,41716,43104,44101,45188,45795,46181,46849,47270,47683,
1992,CA,NPCC,-,-,MW,Peak Hour Demand - Winter,57717,59712,61143,62512,63823,65040,65671,66356,67318,68032,68734,
1992,CA,NPCC,Maritimes,Maritimes,MW,Peak Hour Demand - Summer,2967,3125,3178,3252,3317,3382,3444,3514,3585,3656,3729,
1992,CA,NPCC,Maritimes,Maritimes,MW,Peak Hour Demand - Winter,4334,4663,4746,4852,4943,5038,5138,5241,5342,5440,5536,
1992,CA,NPCC,Ontario,Ontario,MW,Peak Hour Demand - Summer,21121,19661,20168,20602,21124,21516,21781,21897,21974,22014,22094,
1992,CA,NPCC,Ontario,Ontario,MW,Peak Hour Demand - Winter,23463,24049,24567,25260,25730,26102,26193,26275,26306,26382,26508,
1992,CA,NPCC,Quebec,Quebec,MW,Peak Hour Demand - Summer,18020,17600,18370,19250,19660,20290,20570,20770,21290,21600,21860,
1992,CA,NPCC,Quebec,Quebec,MW,Peak Hour Demand - Winter,29920,31000,31830,32400,33150,33900,34340,34840,35670,36210,36690,
1992,CA,WECC,-,-,MW,Peak Hour Demand - Summer,12004,12132,12475,12769,13151,13381,13742,14062,14331,14690,14973,
1992,CA,WECC,-,-,MW,Peak Hour Demand - Winter,14285,15586,16004,16320,16580,16892,17265,17663,18012,18418,18764,
1992,MX,WECC,CA-MX,-,MW,Peak Hour Demand - Summer,848,938,1043,1154,1270,1371,1480,1598,1725,1862,2010,
1992,MX,WECC,CA-MX,-,MW,Peak Hour Demand - Winter,621,702,777,855,923,996,1075,1161,1253,1353,1460,
1992,US,ECAR,-,-,MW,Peak Hour Demand - Summer,81224,81227,82631,84205,85547,86790,88104,89231,90564,91836,93092,
1992,US,ECAR,-,-,MW,Peak Hour Demand - Winter,71181,75837,77506,78830,80073,81288,82482,83768,85057,86372,87602,
1992,US,TRE,-,ERCOT,MW,Peak Hour Demand - Summer,41870,45240,46193,46891,47641,48600,49629,50781,51940,53216,54525,
1992,US,TRE,-,ERCOT,MW,Peak Hour Demand - Winter,35448,37162,37990,38772,39694,40716,41838,43007,44320,45430,46855,
1992,US,FRCC,-,FRCC,MW,Peak Hour Demand - Summer,28818,29445,30233,30972,31957,32804,33581,34375,35042,35914,36631,
1992,US,FRCC,-,FRCC,MW,Peak Hour Demand - Winter,31153,33071,34032,35065,36175,37193,38181,39177,40167,41143,41938,
1992,US,MAAC,-,-,MW,Peak Hour Demand - Summer,45937,43794,44458,45025,45648,46217,46844,47497,48166,48829,49507,
1992,US,MAAC,-,-,MW,Peak Hour Demand - Winter,37983,39170,39914,40610,41378,42046,42812,43556,44307,45052,45835,
1992,US,MAIN,-,-,MW,Peak Hour Demand - Summer,41598,42027,42742,43438,44121,44819,45591,46381,47159,47912,48613,
1992,US,MAIN,-,-,MW,Peak Hour Demand - Winter,33420,34355,35015,35632,36271,36908,37614,38330,38994,39652,40342,
1992,US,MRO,-,-,MW,Peak Hour Demand - Summer,25498,27714,28092,28553,29105,29541,29998,30495,30953,31460,31611,
1992,US,MRO,-,-,MW,Peak Hour Demand - Winter,21432,22747,23237,23750,24196,24635,25067,25515,25945,26379,26533,
1992,US,NPCC,-,-,MW,Peak Hour Demand - Summer,46594,46347,46643,47185,47558,48282,48752,49502,50312,50931,51456,
1992,US,NPCC,-,-,MW,Peak Hour Demand - Winter,41866,43061,43428,43914,44510,44925,45582,46317,46930,47456,48121,
1992,US,NPCC,New England,New England,MW,Peak Hour Demand - Summer,19755,19587,19693,19985,20268,20782,21082,21662,22282,22721,23176,
1992,US,NPCC,New England,New England,MW,Peak Hour Demand - Winter,18885,19431,19628,19814,20140,20335,20792,21317,21700,22036,22521,
1992,US,NPCC,New York,New York,MW,Peak Hour Demand - Summer,26839,26760,26950,27200,27290,27500,27670,27840,28030,28210,28280,
1992,US,NPCC,New York,New York,MW,Peak Hour Demand - Winter,22981,23630,23800,24100,24370,24590,24790,25000,25230,25420,25600,
1992,US,SERC,-,-,MW,Peak Hour Demand - Summer,95968,98583,101319,104268,107102,109874,112328,114781,117247,119680,122361,
1992,US,SERC,-,-,MW,Peak Hour Demand - Winter,88422,91609,93865,96014,98495,100787,102918,105257,107513,109687,111995,
1992,US,SERC,Central,-,MW,Peak Hour Demand - Summer,22300,22558,23320,23958,24654,25336,26016,26697,27380,28060,28725,
1992,US,SERC,Central,-,MW,Peak Hour Demand - Winter,22167,22895,23329,23897,24443,24998,25546,26090,26638,27272,27906,
1992,US,SERC,Southeastern,-,MW,Peak Hour Demand - Summer,30570,32735,33634,34517,35404,36252,36963,37754,38516,39295,40075,
1992,US,SERC,Southeastern,-,MW,Peak Hour Demand - Winter,24950,25785,26383,27062,27822,28432,29105,29738,30392,31000,31612,
1992,US,SERC,VACAR,-,MW,Peak Hour Demand - Summer,43098,43290,44365,45793,47044,48286,49349,50330,51351,52325,53561,
1992,US,SERC,VACAR,-,MW,Peak Hour Demand - Winter,41305,42929,44153,45055,46230,47357,48267,49429,50483,51415,52477,
1992,US,SPP,-,-,MW,Peak Hour Demand - Summer,51885,53342,54730,55771,56780,57807,58856,59949,61146,62292,63434,
1992,US,SPP,-,-,MW,Peak Hour Demand - Winter,38759,40273,40961,41927,42612,43517,44421,45366,46315,47216,48169,
1992,US,WECC,-,-,MW,Peak Hour Demand - Summer,92026,97173,99338,101053,102500,104093,105905,107664,109447,111300,113126,
1992,US,WECC,-,-,MW,Peak Hour Demand - Winter,86097,92103,93974,95157,96599,98528,100285,101757,103776,105365,106889,
1992,US,WECC,AZN,-,MW,Peak Hour Demand - Summer,11892,12651,12930,13300,13642,13928,14270,14586,14931,15256,15578,
1992,US,WECC,AZN,-,MW,Peak Hour Demand - Winter,9457,10305,10817,10863,11435,11663,12036,12293,12606,12850,13137,
1992,US,WECC,CNV,-,MW,Peak Hour Demand - Summer,46076,48564,49611,50012,50601,51360,52287,53082,53864,54907,55788,
1992,US,WECC,CNV,-,MW,Peak Hour Demand - Winter,35641,37178,37932,38483,38963,39636,40348,40898,41444,42307,43085,
1992,US,WECC,NWPP,-,MW,Peak Hour Demand - Summer,29608,29397,30220,30743,31112,31524,31979,32509,32945,33416,33878,
1992,US,WECC,NWPP,-,MW,Peak Hour Demand - Winter,34808,38233,39114,39630,40166,40733,41283,41852,42419,43005,43586,
1992,US,WECC,RMPA,-,MW,Peak Hour Demand - Summer,6494,6747,6866,6998,7145,7294,7461,7610,7760,7894,8054,
1992,US,WECC,RMPA,-,MW,Peak Hour Demand - Winter,6309,6771,6870,6990,7134,7294,7440,7605,7744,7881,8024,
1993,CA,MRO,-,-,MW,Peak Hour Demand - Summer,4668,4777,4817,4878,4961,5044,5112,5179,5229,5280,5333,
